name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	BASO_COUNT	EO_COUNT	HCT	HGB	LYMPH_COUNT	MCH	MCHC	MCV	MEAN_RETIC_VOL	MONO_COUNT	MPV	NEUTRO_COUNT	PLT_COUNT	RBC_COUNT	RETIC_COUNT	WBC_COUNT
singles-MEP-141017-31	MEP	14.2	-12.25	-2.7913	3.9231	2.0259	-0.49012	0.84896	0.16082	-1.2217	-1.9707	-0.513659784629354	-0.221559308918469	0.122020730210204	0.816348726074085	-0.129152736634591	0.19798234664851	1.78367115524411	1.48901606228075	1.27556468174748	0.0524739942164626	1.38296683581965	-0.12575813921615	2.66125797190728	-0.06849441493672	-0.0513039819115676	-0.651336028911508
singles-BM0828-MEP-160420-79	MEP	24.144	-11.871	-4.1725	5.0533	3.8234	1.0056	1.5521	-0.21609	-1.5083	-2.2236	-0.313302601824105	-0.177267885343418	2.18427095885925	2.36429041529359	0.0429694858845658	-0.750807730424891	0.000449702530038505	-0.567431419809986	-0.969632705949832	2.07533066952729	1.46374610926795	1.52075168812989	-0.987085245319318	0.877406596792366	-0.754287613279194	1.03812647657633
BM1077-MEP-Frozen-160107-35	MEP	29.318	-10.906	-4.083	4.8925	2.9687	0.28283	1.3738	-0.59812	-1.0209	-2.5891	-0.449642056788753	1.76765095812354	-0.915671722507907	-0.679006563971611	-0.694158960053927	-0.0276775669202874	-0.328568460243193	-0.364067930017189	-1.23081190785755	-0.209312614888846	0.64823037213545	-0.829995934035582	3.15346629998897	-0.103027222292944	0.297647862285697	0.234415440682537
singles-BM0828-MEP-160420-28	MEP	27.447	-11.476	-3.9333	4.9242	3.9675	1.0186	1.3715	0.011781	-1.4647	-2.4381	-0.301455473476178	-1.13893647266018	1.55733212868849	2.00721499840634	2.12293143587205	-0.98767824041259	0.694477923552036	-1.04611987984638	-1.05504879289329	-0.481585274070435	-0.0362352360324137	0.298665500071646	-1.02736184342023	-0.42839254485564	0.119329981979696	1.48888951921123
singles-BM0828-MEP-160420-49	MEP	28.874	-11.12	-4.0281	5.1619	4.2913	1.2475	1.3103	-0.30771	-1.3661	-2.3216	-0.21154273712887	-0.447118167254812	1.61888506633096	-0.390094442070512	-0.324228598829344	0.867034801866803	0.0712552591782261	0.112805959391189	0.307642434040019	0.142776986178097	0.253481599238441	-1.87603768813465	-0.231957243195215	-0.642502979190247	0.661453313717904	-1.49739515083926
singles-MEP-141017-14	MEP	27.619	-11.723	-3.0238	5.6949	3.6104	0.52781	1.7026	-0.66011	-1.7671	-2.323	-0.654410107700332	0.0770755285808977	0.478657006619199	1.04869106701844	0.637632308430471	0.951342246274474	1.17602260321939	0.601024967182764	1.1851062775911	0.401493396710292	0.698847223192137	0.272409791181059	2.7456528952178	1.46389759365766	1.58463879824012	0.836443835183359
BM1077-MEP-Frozen-160107-22	MEP	29.977	-11.456	-3.3584	5.5546	3.4226	0.48031	2.0916	-0.45585	-1.6149	-2.2951	-0.542887904715276	-0.343796355308612	-1.02939920246591	0.465193593988054	-0.521783464573124	-1.10606894473385	-0.523204883296204	-0.699119281129923	0.123959363633649	-0.0662436346448113	-1.11917538878663	0.377499658117814	-0.568961720980057	-0.380176085519378	-1.52275554478024	-0.419903755736619
BM1077-MEP-Frozen-160107-56	MEP	19.144	-11.629	-3.5846	4.7908	2.0664	-0.44799	1.52	0.26229	-1.4745	-2.2419	-0.64611535733685	-0.768040068757384	-0.247826423659269	-0.911986155814542	-0.858147928965702	0.494521489348781	-1.03887618930989	-0.918083519760091	0.0339524467278437	-0.344134342900246	1.09292508065239	0.502865987721017	1.83627505346959	-0.479573424684908	1.01863492862224	0.609880600256523
BM1077-MEP-Frozen-160107-37	MEP	18.476	-11.922	-3.6567	4.5687	2.0143	-0.4432	1.3473	0.012631	-1.2962	-2.2443	-0.496981608571282	-0.203895698697466	-0.764458616271913	-0.596234324047934	-0.903410035569033	2.87619712100666	0.0183503293258899	1.73376694627031	2.67953534667421	1.00232565133941	-0.0373228332054238	-0.954310740939843	1.16971663280081	1.53102648713518	4.86204240913297	-0.810331841038002
singles-MEP-141017-5	MEP	16.859	-12.177	-3.2421	4.3171	2.5293	-0.23907	1.0012	0.21807	-1.321	-2.045	0.00211011107922133	2.87426109628092	-1.08469145250034	-0.833189409691972	-0.423418844963317	-0.261386316102922	-0.838683082840005	-0.113868224211052	-0.347314686264119	-0.303707674605777	-0.0736967455981427	-1.1158368901492	1.06373229979829	-0.187319817421772	-1.52605433240415	-1.07190213246139
singles-MEP-141017-90	MEP	24.884	-12.03	-3.7199	5.1987	3.5392	0.57522	1.4409	-0.38866	-1.5599	-2.3738	-0.17550345290258	-0.542543679885037	-0.0703865406923397	-0.012715808916523	-0.802216073024775	0.729312482885701	0.936453930983879	-0.161711911148155	0.349661054158595	0.619478204629712	-0.163211677723236	-1.06297735533903	0.19179271362161	0.292628069679182	-0.750398025781099	-0.857727185823901
