rank	TF	cluster1_mean_zscore	cluster2_mean_zscore	t_statistic	pval	FDR	logp
18	ENSG00000111046_LINE137_MYF6_D_N1	-0.274944572368421	-1.42154048387097	7.16168047680427	4.83768422410643e-11	1.45362886438533e-09	10.3153624832672
19	ENSG00000111049_LINE481_MYF5_I_N1	-0.274944572368421	-1.42154048387097	7.16168047680427	4.83768422410643e-11	1.45362886438533e-09	10.3153624832672
20	ENSG00000198815_LINE2061_FOXJ3_D_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
21	ENSG00000053254_LINE2569_FOXN3_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
22	ENSG00000170122_LINE2941_FOXD4_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
23	ENSG00000184492_LINE3386_FOXD4L1_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
24	ENSG00000187559_LINE3797_FOXD4L3_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
25	ENSG00000204779_LINE4071_FOXD4L5_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
26	ENSG00000204793_LINE4208_FOXD4L6_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
27	ENSG00000129654_LINE6876_FOXJ1_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
28	ENSG00000170802_LINE7902_FOXN2_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
29	ENSG00000183770_LINE8867_FOXL2_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
30	ENSG00000184659_LINE9184_FOXD4L4_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
31	ENSG00000204828_LINE10593_FOXD4L2_I_N1	-0.640115580263158	0.832821117741935	-7.27429064004256	5.74066512749275e-11	1.45362886438533e-09	10.2410377862666
32	ENSG00000106459_LINE3634_NRF1_D_N3	-0.297355171052632	1.29532258064516	-7.03760452472658	1.47636567395722e-10	3.62157079265275e-09	9.8308060608648
33	ENSG00000106331_LINE2621_PAX4_D_N1	-0.318984077631579	0.848371630645161	-6.86297348109215	2.45356871989461e-10	5.83629592782437e-09	9.61020177373235
34	ENSG00000123405_LINE390_NFE2_D_N3	-0.557288302631579	-3.25299322580645	6.69839260042316	5.29639587674386e-10	1.22279749375474e-08	9.2760195612081
35	ENSG00000067955_LINE3606_CBFB_D	0.189150105263158	-1.53376424193548	6.77485538165416	6.8806220799801e-10	1.54316611545368e-08	9.16237229523987
36	ENSG00000185122_LINE2724_HSF1_D_N1	-0.488311447368421	0.816116838709677	-6.59061037989802	1.07369098006795e-09	2.34115313620929e-08	8.96912069532395
37	ENSG00000189120_LINE1378_SP6_I	0.292651105263158	1.55548209677419	-6.57119455797697	1.29468457924076e-09	2.67444331104374e-08	8.88783602477236
38	ENSG00000204335_LINE1520_SP5_I	0.292651105263158	1.55548209677419	-6.57119455797697	1.29468457924076e-09	2.67444331104374e-08	8.88783602477236
39	ENSG00000114861_LINE1958_FOXP1_D_N1	-0.290769236842105	0.885447983870968	-6.56230733604425	1.3766128192622e-09	2.77076836588007e-08	8.86118819053638
40	ENSG00000162613_LINE3668_FUBP1_D	-0.39433012368421	0.988952532258064	-6.53056760472388	2.23048050381957e-09	4.37715028936572e-08	8.65160156848629
41	ENSG00000159216_LINE3282_RUNX1_D_N2	-0.165079473684211	-1.64894262903226	6.50015039954363	2.80657992702787e-09	5.37336789580016e-08	8.55182258523733
42	ENSG00000174595_LINE1187_KLF14_D	-0.205487319078947	1.24356	-6.41985271628498	4.26975702172053e-09	7.79449035544015e-08	8.3695968385882
43	ENSG00000172059_LINE3300_KLF11_I_N3	-0.205487319078947	1.24356	-6.41985271628498	4.26975702172053e-09	7.79449035544015e-08	8.3695968385882
44	ENSG00000198914_LINE2691_POU3F3_D_N1	-0.324773736842105	0.696026774193548	-6.26009899839498	4.97218400996172e-09	8.87048844029713e-08	8.30345280741731
45	ENSG00000156273_LINE439_BACH1_D_N1	-0.755802392105263	-3.98577306451613	6.26698995994141	5.17696560274435e-09	9.03058290097254e-08	8.28592472058661
46	ENSG00000175879_LINE2498_HOXD8_D	0.0304010394736842	1.14165777419355	-6.24788490489016	5.9601707724748e-09	9.95437193503183e-08	8.22474129655491
47	ENSG00000197576_LINE16144_HOXA4_I_N1	0.0304010394736842	1.14165777419355	-6.24788490489016	5.9601707724748e-09	9.95437193503183e-08	8.22474129655491
48	ENSG00000198517_LINE549_MAFK_D_N1	-0.54524175	-2.86603258064516	6.19498473734973	7.22545194306496e-09	1.18161718253181e-07	8.14113498314018
49	ENSG00000008197_LINE6_TFAP2D_D	-0.15603625	0.601844758064516	-6.19139960527905	8.09454004397822e-09	1.29672867312335e-07	8.09180782412339
50	ENSG00000120837_LINE3650_NFYB_D_N2	0.310291652631579	1.61059056451613	-6.16571563479216	1.11902914634759e-08	1.75680845211827e-07	7.95115860164584
51	ENSG00000109320_LINE3202_NFKB1_D_N3	0.146551039473684	-1.86859548387097	6.07276036304367	1.27902099235182e-08	1.9338982292377e-07	7.89312232746213
52	ENSG00000171223_LINE487_JUNB_D_N3	-1.45850297368421	-6.63326612903226	6.06421946840973	1.28110268439155e-08	1.9338982292377e-07	7.89241605879758
53	ENSG00000075426_LINE328_FOSL2_D_N3	-1.38721947368421	-6.54927	6.04605781459549	1.38907280294928e-08	2.05732146257445e-07	7.85727499177818
54	ENSG00000156273_LINE437_BACH1_D_N1	-1.31925894736842	-5.86658522580645	6.04630698292107	1.42391914355904e-08	2.06987723068496e-07	7.84651467116484
55	ENSG00000065970_LINE1947_FOXJ2_D_N1	-0.0843461315789474	0.938484516129032	-6.05081411944633	1.52822125831413e-08	2.1811049597412e-07	7.81581376335952
56	ENSG00000115816_LINE3645_CEBPZ_D	0.164758381578947	1.24729213709677	-6.03585116349701	1.75793839514084e-08	2.46415852093657e-07	7.7549963483289
57	ENSG00000168269_LINE2010_FOXI1_D_N2	-0.0465126315789474	0.974580479032258	-5.99014865039663	1.89655163504894e-08	2.54529539452802e-07	7.72203532880535
58	ENSG00000116044_LINE367_NFE2L2_D	-0.54535075	-2.45396758064516	5.99283042161779	1.92540742058546e-08	2.54529539452802e-07	7.71547735873197
59	ENSG00000050344_LINE1238_NFE2L3_I_N1	-0.54535075	-2.45396758064516	5.99283042161779	1.92540742058546e-08	2.54529539452802e-07	7.71547735873197
