trait	Category	pvalue
1275	MCHC	MEP	0.399129717949754
1276	MCHC	MPP	0.366172129919822
1277	MCHC	Mono	0.101892384119481
1278	MCHC	UNK	0.112759783736846
1279	MCHC	mDC	0.0589353888061025
1280	MCHC	pDC	0.378604494436785
1281	MCHC	NK	0.584595903671072
1471	MCV	B	0.00036691572077619
1472	MCV	CD4	0.000548153901339619
1473	MCV	CD8	2.1814804118738e-05
1474	MCV	CLP	0.00268033870617255
1475	MCV	CMP	8.52963608201216e-07
1476	MCV	Ery	3.39343330501588e-17
1477	MCV	GMP-A	1.15349587653372e-06
1478	MCV	GMP-B	8.096628622243e-08
1479	MCV	GMP-C	0.000200887584317057
1480	MCV	GMP	0.00123477026512894
1481	MCV	HSC	3.22345770595902e-05
1482	MCV	LMPP	0.000924047775777835
1483	MCV	MCP	0.0612743241778513
1484	MCV	Mega	8.30341868342712e-07
1485	MCV	MEP	3.17881041993636e-12
1486	MCV	MPP	1.22527714252977e-05
1487	MCV	Mono	0.00830209210354265
1488	MCV	UNK	0.00247721502279155
1489	MCV	mDC	0.00706488916677317
1490	MCV	pDC	0.00208418096517516
1491	MCV	NK	6.31568781589639e-06
1681	MEAN_RETIC_VOL	B	0.000148674645573323
1682	MEAN_RETIC_VOL	CD4	0.000715502230120306
1683	MEAN_RETIC_VOL	CD8	3.89067874298588e-05
1684	MEAN_RETIC_VOL	CLP	2.531587921792e-05
1685	MEAN_RETIC_VOL	CMP	9.527226675882e-07
1686	MEAN_RETIC_VOL	Ery	4.55694993479519e-10
1687	MEAN_RETIC_VOL	GMP-A	5.65510619199739e-09
1688	MEAN_RETIC_VOL	GMP-B	2.99537724306888e-07
1689	MEAN_RETIC_VOL	GMP-C	4.67047078395762e-07
1690	MEAN_RETIC_VOL	GMP	6.69631574177589e-06
1691	MEAN_RETIC_VOL	HSC	1.18937177338407e-05
1692	MEAN_RETIC_VOL	LMPP	7.17363341923361e-06
1693	MEAN_RETIC_VOL	MCP	0.000390999085223389
1694	MEAN_RETIC_VOL	Mega	1.1199411177539e-05
1695	MEAN_RETIC_VOL	MEP	1.49923436487049e-10
1696	MEAN_RETIC_VOL	MPP	1.9766847236009e-05
1697	MEAN_RETIC_VOL	Mono	0.0178179386292665
1698	MEAN_RETIC_VOL	UNK	1.30004275281328e-06
1699	MEAN_RETIC_VOL	mDC	0.000322636909134928
1700	MEAN_RETIC_VOL	pDC	3.88890748887449e-05
1701	MEAN_RETIC_VOL	NK	8.17431563819239e-07
1891	MONO_COUNT	B	0.0830295205576713
1892	MONO_COUNT	CD4	0.391415311442643
1893	MONO_COUNT	CD8	0.124419065465068
1894	MONO_COUNT	CLP	0.0962333504604812
1895	MONO_COUNT	CMP	0.0197959518383361
1896	MONO_COUNT	Ery	0.146407741247432
1897	MONO_COUNT	GMP-A	7.0039036733445e-06
1898	MONO_COUNT	GMP-B	3.58495096975742e-09
1899	MONO_COUNT	GMP-C	2.4502436081048e-07
1900	MONO_COUNT	GMP	0.000227834663479078
1901	MONO_COUNT	HSC	0.0883608411381208
1902	MONO_COUNT	LMPP	0.00338827903924524
1903	MONO_COUNT	MCP	0.151497642205882
1904	MONO_COUNT	Mega	0.102041421256758
1905	MONO_COUNT	MEP	0.0281548567285613
1906	MONO_COUNT	MPP	0.0500326729945031
1907	MONO_COUNT	Mono	3.45785176142561e-08
1908	MONO_COUNT	UNK	0.00230582325500343
1909	MONO_COUNT	mDC	3.07457967106633e-08
1910	MONO_COUNT	pDC	0.729652107061489
1911	MONO_COUNT	NK	0.012496108230844
2101	MPV	B	0.0024978516151034
2102	MPV	CD4	0.0490254766252858
2103	MPV	CD8	0.028072900768599
2104	MPV	CLP	0.0284702210354513
2105	MPV	CMP	4.32854655906401e-05
2106	MPV	Ery	0.00436614304103248
2107	MPV	GMP-A	8.25976262652051e-05
2108	MPV	GMP-B	0.000652852519140512
2109	MPV	GMP-C	0.000150776239305234
2110	MPV	GMP	0.000558667949194588
2111	MPV	HSC	7.10054415123227e-06
2112	MPV	LMPP	0.000252932251408816
2113	MPV	MCP	0.386408428699764
2114	MPV	Mega	6.14966398930519e-12
2115	MPV	MEP	2.04722490721105e-06
2116	MPV	MPP	1.00147106468127e-05
2117	MPV	Mono	6.03480690112762e-05
2118	MPV	UNK	0.000708271479874367
2119	MPV	mDC	3.10051127082524e-05
2120	MPV	pDC	0.535288522947494
2121	MPV	NK	0.00267744169067854
2311	NEUTRO_COUNT	B	0.192387644898596
2312	NEUTRO_COUNT	CD4	0.85644241722611
2313	NEUTRO_COUNT	CD8	0.582734275467309
2314	NEUTRO_COUNT	CLP	0.893093519457659
2315	NEUTRO_COUNT	CMP	0.0872757709017349
2316	NEUTRO_COUNT	Ery	0.219194021295825
2317	NEUTRO_COUNT	GMP-A	0.0813647221294962
2318	NEUTRO_COUNT	GMP-B	0.0574987772639181
2319	NEUTRO_COUNT	GMP-C	0.0715861943798198
2320	NEUTRO_COUNT	GMP	0.106958795209001
2321	NEUTRO_COUNT	HSC	0.272975778034755
2322	NEUTRO_COUNT	LMPP	0.353899663747495
2323	NEUTRO_COUNT	MCP	0.523771270428966
2324	NEUTRO_COUNT	Mega	0.450447969593164
2325	NEUTRO_COUNT	MEP	0.092574118442066
2326	NEUTRO_COUNT	MPP	0.206565543771868
2327	NEUTRO_COUNT	Mono	0.00428127500057213
