Category	trait	pvalue
CD8	NEUTRO_COUNT	0.748304855663751
CLP	NEUTRO_COUNT	0.343179841453033
CMP	NEUTRO_COUNT	0.432831301666033
Ery	NEUTRO_COUNT	0.395999535602268
GMP-A	NEUTRO_COUNT	0.245442349281485
GMP-B	NEUTRO_COUNT	0.915830310506326
GMP-C	NEUTRO_COUNT	0.722821017695386
HSC	NEUTRO_COUNT	0.564526879936887
LMPP	NEUTRO_COUNT	0.247950547902448
mDC	NEUTRO_COUNT	0.0813987801090113
Mega	NEUTRO_COUNT	0.336705121316109
MEP	NEUTRO_COUNT	0.178479684414985
Mono	NEUTRO_COUNT	0.09008295284821
MPP	NEUTRO_COUNT	0.9149109273736
NK	NEUTRO_COUNT	0.260984407061248
pDC	NEUTRO_COUNT	0.00889899675993102
B	PLT_COUNT	0.848957071616842
CD4	PLT_COUNT	0.624553394639138
CD8	PLT_COUNT	0.669519985815652
CLP	PLT_COUNT	0.530661334493154
CMP	PLT_COUNT	0.980023832621212
Ery	PLT_COUNT	0.0108841479325629
GMP-A	PLT_COUNT	0.578124945586413
GMP-B	PLT_COUNT	0.869894936766296
GMP-C	PLT_COUNT	0.0896165698675337
HSC	PLT_COUNT	0.428958576992811
LMPP	PLT_COUNT	0.485202366446043
mDC	PLT_COUNT	0.0950426859069023
Mega	PLT_COUNT	3.59480665621352e-07
MEP	PLT_COUNT	0.773167062027351
Mono	PLT_COUNT	0.621589973690072
MPP	PLT_COUNT	0.251582835029243
NK	PLT_COUNT	0.153509963333817
pDC	PLT_COUNT	0.158634603237169
B	RBC_COUNT	0.947791631576281
CD4	RBC_COUNT	0.0541795364414601
CD8	RBC_COUNT	0.0700916674006238
CLP	RBC_COUNT	0.567479198793625
CMP	RBC_COUNT	0.333354532950418
Ery	RBC_COUNT	5.6631952245414e-05
GMP-A	RBC_COUNT	0.274742023926895
GMP-B	RBC_COUNT	0.136119763157626
GMP-C	RBC_COUNT	0.624593414795048
HSC	RBC_COUNT	0.0257806806003672
LMPP	RBC_COUNT	0.845522290782275
mDC	RBC_COUNT	0.235206566660879
Mega	RBC_COUNT	0.697186159750447
MEP	RBC_COUNT	0.010811293409395
Mono	RBC_COUNT	0.00423897874421722
MPP	RBC_COUNT	0.0114029369284239
NK	RBC_COUNT	0.966363281643597
pDC	RBC_COUNT	0.508829217569219
B	RETIC_COUNT	0.852777076757109
CD4	RETIC_COUNT	0.000885770960157493
CD8	RETIC_COUNT	0.321369887442074
CLP	RETIC_COUNT	0.0247597846425385
CMP	RETIC_COUNT	0.0559105455763053
Ery	RETIC_COUNT	3.27984424421117e-09
GMP-A	RETIC_COUNT	0.648719079668544
GMP-B	RETIC_COUNT	0.516944751919083
GMP-C	RETIC_COUNT	0.399532769276779
HSC	RETIC_COUNT	0.806135125966661
LMPP	RETIC_COUNT	0.170600074941077
mDC	RETIC_COUNT	0.477393367793087
Mega	RETIC_COUNT	0.00837138950155596
MEP	RETIC_COUNT	0.302272345828896
Mono	RETIC_COUNT	0.179705974124398
MPP	RETIC_COUNT	0.570656230766212
NK	RETIC_COUNT	0.815281993980934
pDC	RETIC_COUNT	0.423825391266524
B	WBC_COUNT	0.141375380296475
CD4	WBC_COUNT	0.91321940186248
CD8	WBC_COUNT	0.886015103999089
CLP	WBC_COUNT	0.0520078799733591
CMP	WBC_COUNT	0.993871314845058
Ery	WBC_COUNT	0.724881779828481
GMP-A	WBC_COUNT	0.29262739703297
GMP-B	WBC_COUNT	0.943478875326925
GMP-C	WBC_COUNT	0.813975281907809
HSC	WBC_COUNT	0.661092696498252
LMPP	WBC_COUNT	0.155078183635736
mDC	WBC_COUNT	0.187855479573926
Mega	WBC_COUNT	0.763874903669021
MEP	WBC_COUNT	0.30705102169969
Mono	WBC_COUNT	0.454109543470573
MPP	WBC_COUNT	0.667179649853173
NK	WBC_COUNT	0.171802941854252
pDC	WBC_COUNT	0.00118312974537723
