name	type	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
singles-BM0828-MPP-frozen-151103-10	MPP	36.301	-7.5684	-2.2311	4.6072	3.5147	1.5943	1.9361	-0.1631	-1.3652	-2.2594
singles-BM0828-MPP-frozen-151103-16	MPP	35.188	-7.5203	-0.50527	4.6611	2.932	1.6188	2.4517	-0.059579	-1.7056	-2.1727
singles-BM0828-MPP-frozen-151103-17	MPP	36.969	-6.9389	-2.1567	4.7416	3.3136	1.6277	1.8629	-0.5326	-1.3516	-2.1254
singles-BM0828-MPP-frozen-151103-18	MPP	33.895	-8.0079	0.42918	4.0788	1.3374	1.1444	2.065	-0.45358	-1.4344	-2.1051
singles-BM0828-MPP-frozen-151103-19	MPP	36.539	-6.8839	-1.4043	4.1014	2.524	1.2748	1.7132	-0.81468	-1.0706	-2.2559
singles-BM0828-MPP-frozen-151103-23	MPP	36.11	-7.4497	-1.499	4.5855	3.5252	1.4519	2.0165	0.1184	-1.4821	-2.1799
singles-BM0828-MPP-frozen-151103-24	MPP	36.133	-7.4211	-1.9201	4.0352	2.6354	1.4417	1.766	-0.74337	-1.1329	-2.2778
singles-BM0828-MPP-frozen-151103-25	MPP	32.73	-10.178	-2.8586	5.3944	3.54	1.0589	2.1422	-0.58616	-1.5886	-2.3447
singles-BM0828-MPP-frozen-151103-26	MPP	38.041	-6.1191	-1.0396	4.5119	2.4222	0.60041	1.9958	-0.89905	-1.7049	-2.4317
singles-BM0828-MPP-frozen-151103-27	MPP	36.998	-6.8792	-0.55387	4.3913	2.3488	0.98867	2.343	-0.29624	-1.7677	-2.2482
singles-BM0828-MPP-frozen-151103-28	MPP	38.398	-5.8134	-1.1318	4.646	3.4227	0.46166	1.687	-0.51048	-1.7966	-2.2666
singles-BM0828-MPP-frozen-151103-30	MPP	35.716	-8.4489	-2.1184	4.5867	3.1134	1.4011	1.9152	-0.055331	-1.4974	-2.4599
singles-BM0828-MPP-frozen-151103-31	MPP	35.372	-7.55	0.094466	4.014	1.8223	0.99796	2.1255	-0.5927	-1.4938	-2.2896
singles-BM0828-MPP-frozen-151103-32	MPP	36.775	-7.7189	-0.67347	4.9139	2.8642	1.1109	2.2732	-0.53716	-1.6903	-2.2984
singles-BM0828-MPP-frozen-151103-35	MPP	35.295	-7.3557	-2.6164	4.4662	3.6894	1.7815	1.6396	-0.47404	-1.0881	-2.1668
singles-BM0828-MPP-frozen-151103-36	MPP	30.378	-9.9318	-4.0164	5.0625	3.8223	1.0219	1.5193	-0.071643	-1.2981	-2.3497
singles-BM0828-MPP-frozen-151103-37	MPP	36.613	-7.0288	-0.34779	4.4687	2.9031	1.3377	2.0709	-0.30989	-1.6938	-2.212
singles-BM0828-MPP-frozen-151103-38	MPP	35.927	-7.6408	-0.39627	4.2964	2.1174	1.135	2.347	-0.55373	-1.5618	-2.3436
singles-BM0828-MPP-frozen-151103-40	MPP	35.222	-7.552	-0.12993	4.0858	2.1795	1.4099	2.1742	-0.23266	-1.7239	-2.3113
singles-BM0828-MPP-frozen-151103-41	MPP	34.65	-7.5723	-2.293	5.1356	3.722	1.8594	2.1557	-0.22872	-1.5685	-1.7885
singles-BM0828-MPP-frozen-151103-42	MPP	37.265	-6.8089	-1.3866	5.1219	3.3154	1.3644	2.2389	-0.19355	-1.6338	-2.0789
singles-BM0828-MPP-frozen-151103-43	MPP	33.716	-7.4941	-2.944	4.0903	3.6083	1.9146	1.5707	-0.72763	-0.89562	-2.2011
singles-BM0828-MPP-frozen-151103-44	MPP	37.038	-4.3294	-1.0892	4.2006	3.2611	0.7617	0.84268	-0.57874	-1.37	-2.0593
singles-BM0828-MPP-frozen-151103-47	MPP	33.226	-8.1007	-3.0252	6.0665	4.1155	1.406	2.013	0.18252	-1.8705	-2.2042
singles-BM0828-MPP-frozen-151103-48	MPP	36.454	-6.533	0.32032	4.4878	2.0688	0.51281	1.9752	-0.20808	-1.8835	-2.1583
singles-BM0828-MPP-frozen-151103-49	MPP	36.811	-6.4165	0.35144	4.4167	2.4081	0.57023	1.9354	-0.2459	-1.7836	-2.249
singles-BM0828-MPP-frozen-151103-50	MPP	37.672	-6.7785	-0.78609	4.7438	2.6694	0.5749	2.0573	-0.87554	-1.5973	-2.157
singles-BM0828-MPP-frozen-151103-51	MPP	37.998	-6.5588	-1.1578	5.3234	3.6133	1.0257	2.0131	-0.57933	-1.7659	-2.2573
singles-BM0828-MPP-frozen-151103-52	MPP	36.367	-7.0131	-1.7098	4.2992	3.2116	1.6233	1.8694	-0.26	-1.1301	-2.2192
singles-BM0828-MPP-frozen-151103-53	MPP	35.83	-8.0329	-0.94709	4.1439	2.5061	1.3624	1.9864	-0.60139	-1.3996	-2.2944
singles-BM0828-MPP-frozen-151103-54	MPP	33.884	-9.4559	-2.2002	5.7022	3.3727	1.1673	2.3939	-0.75092	-1.6206	-2.1221
